Action,Time,Price,Shares,PnL
BUY,2025-09-03 04:35:00+00:00,1392.300048828125,3,0.0
SELL,2025-09-03 05:09:00+00:00,1390.0,3,-6.900146484375
BUY,2025-09-03 05:45:00+00:00,1391.199951171875,3,0.0
SELL,2025-09-03 06:20:00+00:00,1390.0,3,-3.599853515625
BUY,2025-09-03 06:40:00+00:00,1391.800048828125,3,0.0
SELL,2025-09-03 07:28:00+00:00,1390.0999755859375,3,-5.1002197265625
BUY,2025-09-03 08:04:00+00:00,1391.4000244140625,3,0.0
TAKE-PROFIT,2025-09-04 03:48:00+00:00,1405.800048828125,3,43.2000732421875
BUY,2025-09-04 05:25:00+00:00,1409.300048828125,3,0.0
SELL,2025-09-04 05:57:00+00:00,1409.9000244140625,3,1.7999267578125
BUY,2025-09-04 06:14:00+00:00,1408.4000244140625,3,0.0
SELL,2025-09-04 06:17:00+00:00,1408.300048828125,3,-0.2999267578125
BUY,2025-09-04 07:09:00+00:00,1410.5999755859375,3,0.0
SELL,2025-09-04 08:22:00+00:00,1412.199951171875,3,4.7999267578125
BUY,2025-09-04 09:24:00+00:00,1408.199951171875,3,0.0
SELL,2025-09-04 09:46:00+00:00,1405.0,3,-9.599853515625
BUY,2025-09-05 04:01:00+00:00,1404.0999755859375,3,0.0
SELL,2025-09-05 04:04:00+00:00,1404.0,3,-0.2999267578125
BUY,2025-09-05 05:51:00+00:00,1394.800048828125,3,0.0
SELL,2025-09-05 06:25:00+00:00,1393.199951171875,3,-4.80029296875
BUY,2025-09-05 07:36:00+00:00,1391.199951171875,3,0.0
SELL,2025-09-08 03:48:00+00:00,1403.5,3,36.900146484375
BUY,2025-09-08 03:52:00+00:00,1404.300048828125,3,0.0
SELL,2025-09-08 04:33:00+00:00,1402.9000244140625,3,-4.2000732421875
BUY,2025-09-08 05:41:00+00:00,1400.800048828125,3,0.0
SELL,2025-09-08 07:01:00+00:00,1401.5,3,2.099853515625
BUY,2025-09-08 07:14:00+00:00,1404.5,3,0.0
SELL,2025-09-08 08:23:00+00:00,1406.9000244140625,3,7.2000732421875
BUY,2025-09-08 08:32:00+00:00,1407.9000244140625,3,0.0
SELL,2025-09-08 08:52:00+00:00,1407.300048828125,3,-1.7999267578125
BUY,2025-09-08 09:04:00+00:00,1409.800048828125,3,0.0
SELL,2025-09-08 09:29:00+00:00,1408.0,3,-5.400146484375
BUY,2025-09-09 04:16:00+00:00,1401.5,3,0.0
SELL,2025-09-09 04:39:00+00:00,1399.300048828125,3,-6.599853515625
BUY,2025-09-09 05:30:00+00:00,1400.4000244140625,3,0.0
SELL,2025-09-09 06:02:00+00:00,1397.800048828125,3,-7.7999267578125
